emojis,answer,type,options,book,category
✝️🔨🩸,십자가 사건,multiple_choice,십자가 사건;예수님의 광야 시험;예수님의 탄생;변화산 사건,마태복음,"사건,기적,치유"
👿🪨🍞⛰️,예수님의 광야 시험,multiple_choice,예수님의 광야 시험;변화산 사건;십자가 사건;최후의 만찬,마태복음,"사건,기적,치유"
🏠⬆️🛏️⬇️,중풍병자 치유,multiple_choice,중풍병자 치유;나병환자 치유;소경 바디매오 치유;백부장 하인 치유,마가복음,"사건,기적,치유"
👧🛏️😴🧔,야이로 딸의 부활,multiple_choice,야이로 딸의 부활;과부 아들의 부활;나사로의 부활;예수님의 부활,마가복음,"사건,기적,치유"
⛪🐮🕊️💥,성전 정화 사건,multiple_choice,성전 정화 사건;예수님의 탄생;최후의 만찬;가나의 혼인잔치,요한복음,"사건,기적,치유"
⛓️⛓️🔓🎶,빌립보 감옥 해방,multiple_choice,빌립보 감옥 해방;베드로 탈옥;예수님의 부활;사도들의 체포,사도행전,"사건,기적,치유"
👩🩸👗🧔,혈루증 여인 치유,multiple_choice,혈루증 여인 치유;나병환자 치유;중풍병자 치유;베드로 장모 치유,마가복음,"사건,기적,치유"
🕸️🐟🐟🐟⛵,그물이 가득 찬 기적,multiple_choice,그물이 가득 찬 기적;오병이어의 기적;가나의 혼인잔치;물 위를 걸으심,누가복음,"사건,기적,치유"
💀⛰️✝️,"골고다,갈보리,골고다언덕",short_answer,,마태복음,장소
⭐🏘️👶🐮,베들레헴,short_answer,,마태복음,장소
🌊🧔💧🕊️,요단강,short_answer,,마태복음,장소
🌃🌳🧔🙏,"겟세마네,겟세마네동산",short_answer,,마태복음,장소
🛠️👦🧔🏘️,나사렛,short_answer,,마태복음,장소
⛵🌊🧔🎣,"갈릴리,갈릴리호수,갈릴리바다",short_answer,,마태복음,장소
🏰⛪👑👑,예루살렘,short_answer,,마태복음,장소
⛪🌍🤝🗣️,"안디옥,안디옥교회",short_answer,,사도행전,장소
⛓️🙏🎶🏰,빌립보,short_answer,,사도행전,장소
⛪📜🛡️⚔️,에베소,short_answer,,사도행전,장소
⛪❤️📜✉️,고린도,short_answer,,고린도전서,장소
🏛️⛓️✉️👑,로마,short_answer,,사도행전,장소
⛪🌞☁️🎺,데살로니가,short_answer,,사도행전,장소
🧔🚶‍♂️🐖🏠❤️,돌아온 탕자 비유,multiple_choice,돌아온 탕자 비유;선한 사마리아인 비유;씨 뿌리는 자의 비유;겨자씨 비유,누가복음,"말씀,교훈,비유"
🩹🤕🐴❤️,선한 사마리아인 비유,multiple_choice,선한 사마리아인 비유;돌아온 탕자 비유;잃은 양 비유;달란트 비유,누가복음,"말씀,교훈,비유"
🛡️⚔️👑🎽,하나님의 전신갑주,multiple_choice,하나님의 전신갑주;성령의 아홉가지 열매;믿음의 방패;좁은 문,에베소서,"말씀,교훈,비유"
🌱🪨🐦🌾,씨 뿌리는 자의 비유,multiple_choice,씨 뿌리는 자의 비유;알곡과 가라지 비유;겨자씨 비유;그물 비유,마태복음,"말씀,교훈,비유"
🪙🪙🪙🧔,달란트 비유,multiple_choice,달란트 비유;포도원 품꾼 비유;불의한 청지기 비유;감추인 보화 비유,마태복음,"말씀,교훈,비유"
🕯️💡🚫🪣,등불 비유,multiple_choice,등불 비유;소금과 빛;좁은 문과 넓은 길;겨자씨 비유,마태복음,"말씀,교훈,비유"
⚫🌱🌳🐦,겨자씨 비유,multiple_choice,겨자씨 비유;씨 뿌리는 자의 비유;알곡과 가라지 비유;포도원 비유,마태복음,"말씀,교훈,비유"
🚪🚶‍♂️👣,좁은 문,multiple_choice,좁은 문;반석 위에 지은 집;새 포도주와 새 부대;돌아온 탕자 비유,마태복음,"말씀,교훈,비유"
🍇🏺🆕🏺,새 포도주와 새 부대,multiple_choice,새 포도주와 새 부대;가나의 혼인잔치;무화과나무 비유;달란트 비유,마가복음,"말씀,교훈,비유"
🤑🍖🧎‍♂️🐕,부자와 거지 나사로 비유,multiple_choice,부자와 거지 나사로 비유;돌아온 탕자 비유;불의한 청지기 비유;선한 사마리아인 비유,누가복음,"말씀,교훈,비유"
🍇🌳🌿🧔,포도나무와 가지 비유,multiple_choice,포도나무와 가지 비유;무화과나무 비유;씨 뿌리는 자의 비유;겨자씨 비유,요한복음,"말씀,교훈,비유"
