emojis,answer,type,options,book,category,score
🚪🚶👣,좁은 문,multiple_choice,좁은 문;반석 위에 지은 집;새 포도주와 새 부대;돌아온 탕자 비유,마태복음,"말씀,교훈,비유",10
💧🧔🕊️🙏,예수님의 침례,multiple_choice,예수님의 침례;침례요한의 탄생;성령 강림;변화산 사건,마태복음,"사건,기적,치유",10
🇰🇷⚽🥖🗼,"이강인,강인,lee강인",short_answer,,월드컵,인물,10
👶⭐🌟🎁,예수님의 탄생,multiple_choice,예수님의 탄생;침례 요한의 탄생;성전 청결 사건;바울의 회심,누가복음,"사건,기적,치유",10
💨🌊🤫⛵,풍랑을 잔잔케 하심,multiple_choice,풍랑을 잔잔케 하심;물 위를 걸으심;예수님의 승천;중풍병자 치유,마가복음,"사건,기적,치유",10
💧🧔🦗🍯,"침례요한,침례자요한,요한,john",short_answer,,마태복음,인물,20
👿🪨🍞⛰️,예수님의 광야 시험,multiple_choice,예수님의 광야 시험;변화산 사건;십자가 사건;최후의 만찬,마태복음,"사건,기적,치유",10
☁️⬆️🧔👀,예수님의 승천,multiple_choice,예수님의 승천;엘리야의 승천;예수님의 부활;오순절 성령강림,사도행전,"사건,기적,치유",10
✝️👑🧔❤️,"예수,예수님,구세주,그리스도,예수그리스도,jesus",short_answer,,마태복음,인물,20
🛡️⚔️👑🎽,하나님의 전신갑주,multiple_choice,하나님의 전신갑주;성령의 아홉가지 열매;믿음의 방패;좁은 문,에베소서,"말씀,교훈,비유",10
👧🛏️😴🧔,야이로 딸의 부활,multiple_choice,야이로 딸의 부활;과부 아들의 부활;나사로의 부활;예수님의 부활,마가복음,"사건,기적,치유",10
👴✉️👦⛪,"디모데,디모테,티모시,timothy",short_answer,,디모데후서,인물,20
🧔❤️✍️📖,"침례요한,침례자요한,요한,john",short_answer,,요한복음,인물,20
🕸️🐟🐟🐟⛵,그물이 가득 찬 기적,multiple_choice,그물이 가득 찬 기적;오병이어의 기적;가나의 혼인잔치;물 위를 걸으심,누가복음,"사건,기적,치유",10
🍇🏺🆕🏺,새 포도주와 새 부대,multiple_choice,새 포도주와 새 부대;가나의 혼인잔치;무화과나무 비유;달란트 비유,마가복음,"말씀,교훈,비유",10
🍇🌳🌿🧔,포도나무와 가지 비유,multiple_choice,포도나무와 가지 비유;무화과나무 비유;씨 뿌리는 자의 비유;겨자씨 비유,요한복음,"말씀,교훈,비유",10
⛪🐮🕊️💥,성전 정화 사건,multiple_choice,성전 정화 사건;예수님의 탄생;최후의 만찬;가나의 혼인잔치,요한복음,"사건,기적,치유",10
